"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,record_id,,text,"Record ID",,,,,,,,,,,,,
patient_initials,demographics,,text,"Patient Initials",,,,,,y,,y,,,,,
patient_birth_date,demographics,,text,"Patient Birth Date",,,date_ymd,,,,,,,,,,
height,demographics,,text,"Height (cm)",,,integer,,,,,,,,,,
weight,demographics,,text,"Weight (Kg)",,,integer,,,,,,,,,,
bmi,demographics,,calc,"Patient BMI","round(([weight]*10000)/(([height])^(2)),1)",,,,,,,,,,,,
sex,demographics,,radio,Gender,"0, Female | 1, Male | 2, Other",,,,,,,,,,,,
diabetes,medical_history_and_vascular_risk,,radio,Diabetes,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
diabetes_latest_a1c,medical_history_and_vascular_risk,,text,"Latest A1C Value",,,number,,,,"[diabetes] = ""1""",,,,,,
smoking_status,medical_history_and_vascular_risk,,radio,"Smoking Status","0, Never smoked | 1, Ex smoker | 2, Current smoker | 9, Unknown","Ex smoker = has not smoked for the past month.",,,,,,,,,,," @DEFAULT='0'"
family_premature_cad_hist,medical_history_and_vascular_risk,,radio,"Family History of Premature Coronary Artery Disease","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
hypertension,medical_history_and_vascular_risk,,radio,Hypertension,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
dyslipidemia,medical_history_and_vascular_risk,,radio,Dyslipidemia,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
claudication_pain,current_clinical_features,,radio,"Claudication Pain","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
aortopathies,current_clinical_features,,radio,Aortopathies,"0, No | 1, Turner | 2, Marfan | 3, Bicuspid aortic valve with ascending aortic aneurysm | 4, Hypoplastic aorta/aortic arch | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
aortic_valve_morphology,current_clinical_features,"Aortic Pathologies",radio,"Aortic Valve Pathology","0, Native tri-leaflet | 1, Repaired/replaced tri-leaflet | 2, Native bicuspid | 3, Repaired/replaced bicuspid",,,,,,,,,,,," @DEFAULT='0'"
indication_for_repair,current_clinical_features,,radio,"Indication for Repair/Replacement","0, Aortic Stenosis | 1, Aortic Insufficiency/Regurgitation",,,,,,"[aortic_valve_morphology] = ""1"" or [aortic_valve_morphology] = ""3""",,,,,,
valve_current_condition,current_clinical_features,,radio,"Current Condition","0, Normal | 1, Stenotic | 2, Regurgitant",,,,,,"[aortic_valve_morphology] = ""1"" or [aortic_valve_morphology] = ""3""",,,,,,
valve_current_type,current_clinical_features,,radio,"Current Aortic Valve","0, Bio-prosthetic | 1, Mechanical | 2, Previously ballooned | 3, Surgically repaired native valve | 9, Unknown",,,,,,"[aortic_valve_morphology] = ""1"" or [aortic_valve_morphology] = ""3""",,,,,,
